id2,id,hanke_name,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Lookup_Hanketyyppi,Lookup_Kieli,Lookup_Vaikutusalue,amount,lkm
198,278,Kaavilla soi kirjastoblues,Oppimisympäristö ja yhteisöllisyys,Pohjois-Savo,Kaavin kirjasto,Itä-Suomi,Kuopio,hankkeet.kirjastot.fi/node/1759,2014,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,1500,1
199,279,Kadonnutta lukuintoa etsimässä,Lukemisen edistäminen,Uusimaa,Kirkkonummen kunnankirjasto,Etelä-Suomi,Kirkkonummi,hankkeet.kirjastot.fi/node/2161,2014,"Lapsiperheet, Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,42000,1
200,282,Kaiken ikää,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Nurmijärven kirjasto,Etelä-Suomi,Nurmijärvi,hankkeet.kirjastot.fi/node/1438,2013,"Kirjaston henkilökunta, Ikääntyneet",ELY,suomenkielinen,kunnat,2900,1
201,284,Kaikille tilaa ja tekemistä!,Tilasuunnittelu,Pohjanmaa,Isonkyrön kunnankirjasto,Länsi- ja Sisä-Suomi,Isokyrö,hankkeet.kirjastot.fi/node/1776,2014,"Nuoret (13-19  v.), Kirjaston asiakkaat",ELY,suomenkielinen,kunnat,5000,1
202,286,Kaikki Kansa Kirjastoon,Laitehankinnat,Etelä-Pohjanmaa,ähtärin kaupunginkirjasto,Länsi- ja Sisä-Suomi,ähtäri,hankkeet.kirjastot.fi/node/1471,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,6000,1
203,287,Kaikki koneet kymmenluvulle,Laitehankinnat,Uusimaa,Karkkilan kaupunginkirjasto,Etelä-Suomi,Karkkila,hankkeet.kirjastot.fi/node/1481,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,0,1
204,288,Kainuun kirjavinkkari,Lukemisen edistäminen,Kainuu,Kajaanin kaupunginkirjasto - Kainuun maakuntakirjasto,Pohjois-Suomi,Kajaani,hankkeet.kirjastot.fi/node/1423,2013,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,maakunta	,12000,1
205,290,KAITAFILMIT TALTEEN : KIRJASTON ASIAKKAILLE TARKOITETUN DIGITOINTIPALVELUN PARANTAMINEN,Digitointi,Etelä-Pohjanmaa,Seinäjoen kaupunginkirjasto-maakuntakirjasto,Länsi- ja Sisä-Suomi,Seinäjoki,hankkeet.kirjastot.fi/node/2386,2014,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,5000,1
206,291,Kalajoen kirjaston uudet verkkosivut - kirjastojen siirtymäriitti II,Verkkopalvelut,Pohjois-Pohjanmaa,Kalajoen kaupunginkirjasto,Pohjois-Suomi,Kalajoki,hankkeet.kirjastot.fi/node/1086,2013,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,0,1
207,293,Kalajoki-Entresse -työkierto,Henkilöstön osaaminen,Pohjois-Pohjanmaa,Kalajoen kaupunginkirjasto,Pohjois-Suomi,Kalajoki,hankkeet.kirjastot.fi/node/1095,2013,Kirjaston henkilökunta,ELY,suomenkielinen,valtakunnallinen	,4700,1
208,294,Kallion paviljongit,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Helsingin kaupunginkirjasto,Etelä-Suomi,Helsinki,hankkeet.kirjastot.fi/node/724,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,6000,1
209,295,Kangasalan kirjasto 150 vuotta,Palvelujen kehittäminen,Pirkanmaa,Kangasalan kunnankirjasto,Länsi- ja Sisä-Suomi,Kangasala,hankkeet.kirjastot.fi/node/800,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,5000,1
210,296,Kannet auki,Lukemisen edistäminen,Varsinais-Suomi,Naantalin kaupunginkirjasto,Lounais-Suomi,Naantali,hankkeet.kirjastot.fi/node/2045,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,5000,1
211,298,Kannonkosken koneet kierrätykseen,Laitehankinnat,Keski-Suomi,Kannonkosken kunnankirjasto,Länsi- ja Sisä-Suomi,Kannonkoski,hankkeet.kirjastot.fi/node/1407,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,2000,1
212,299,Kansainvälisiä kohtaamisia kirjastossa: monikulttuurisuustapahtumien sarja,Oppimisympäristö ja yhteisöllisyys,Päijät-Häme,Lahden kaupunginkirjasto-maakuntakirjasto,Etelä-Suomi,Lahti,hankkeet.kirjastot.fi/node/1487,2013,"Maahanmuuttajat, Kirjaston asiakkaat",ELY,suomenkielinen,kunnan- tai kaupunginosat	,15000,1
213,301,Kansalaisen helpdesk kirjastossa,Palvelujen kehittäminen,Päijät-Häme,Lahden kaupunginkirjasto-maakuntakirjasto,Etelä-Suomi,Lahti,hankkeet.kirjastot.fi/node/689,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,0,1
215,304,Käpylehmästä Iki ihanaan - kirjallisuutta ikäihmisten iloksi,Lukemisen edistäminen,Kainuu,Kajaanin kaupunginkirjasto - Kainuun maakuntakirjasto,Pohjois-Suomi,Kajaani,hankkeet.kirjastot.fi/node/1111,2013,Ikääntyneet,ELY,suomenkielinen,kunnan- tai kaupunginosat	,2000,1
216,305,Karhuvuoren nuoret häiriötekijästä osallistuviksi asiakkaiksi,Palvelujen kehittäminen,Kymenlaakso,Kotkan kaupunginkirjasto,Etelä-Suomi,Kotka,hankkeet.kirjastot.fi/node/2230,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,12000,1
217,307,Karvakorvat kuulolla - koirat lasten lukemaan oppimisen tukena,Lukemisen edistäminen,Uusimaa,Helsingin kaupunginkirjasto,Etelä-Suomi,Helsinki,hankkeet.kirjastot.fi/node/736,2012,"Lapset (alle 13 v.), Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,5000,1
218,309,Käsi kädessä median maailmaan,Mediakasvatus,Etelä-Savo,Mäntyharjun kunnankirjasto,Itä-Suomi,Mäntyharju,hankkeet.kirjastot.fi/node/1168,2013,"Lapset (alle 13 v.), Nuoret (13-19  v.), Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,14000,1
219,312,"Käsi kädessä sukelletaan - ikärajatonta, yksilöllistä ohjausta sosiaaliseen mediaan, sekä tietoverkon syvällistä opetusta ",Mediakasvatus,Pohjois-Pohjanmaa,Haapajärven kirjasto,Pohjois-Suomi,Haapajärvi,hankkeet.kirjastot.fi/node/300,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,15000,1
220,313,Kasvot Kirjalle,Lukemisen edistäminen,Pohjois-Pohjanmaa,Kempeleen kirjasto,Pohjois-Suomi,Kempele,hankkeet.kirjastot.fi/node/324,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,5000,1
221,314,Kasvot kirjalle,Lukemisen edistäminen,Pohjois-Pohjanmaa,Haapaveden kirjasto,Pohjois-Suomi,Haapavesi,hankkeet.kirjastot.fi/node/378,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,2400,1
222,317,"Kasvukipuja, osa 2: yhdeksäsluokkalaisten pajat",Lukemisen edistäminen,Uusimaa,Vihdin kunnankirjasto,Etelä-Suomi,Vihti,hankkeet.kirjastot.fi/node/2117,2014,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,6000,1
223,318,Kasvukipuja: aikuisuuden kynnyksellä,Lukemisen edistäminen,Uusimaa,Vihdin kunnankirjasto,Etelä-Suomi,Vihti,hankkeet.kirjastot.fi/node/603,2012,"Nuoret (13-19  v.), Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,5500,1
224,320,Kättä pidempää Ilmajoelle sähköiseen lukemiseen ja opiskeluun ,Laitehankinnat,Etelä-Pohjanmaa,Ilmajoen kunnankirjasto,Länsi- ja Sisä-Suomi,Ilmajoki,hankkeet.kirjastot.fi/node/1904,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1800,1
225,321,Kauhajoen Sarjissäpinät 2014,Lukemisen edistäminen,Etelä-Pohjanmaa,Kauhajoen kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kauhajoki,hankkeet.kirjastot.fi/node/2116,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4000,1
226,322,Kaunokirjallisuus uusin silmin,Lukemisen edistäminen,Uusimaa,Nurmijärven kirjasto,Etelä-Suomi,Nurmijärvi,hankkeet.kirjastot.fi/node/1976,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnat,14000,1
227,324,Kaupunkiluontopäivät kirjastossa,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1815,2014,"Kirjaston asiakkaat, Sidosryhmät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,2000,1
228,326,Käy kirjastossa -sivusto PIKI-verkkokirjaston Lapset-osioon,Mediakasvatus,Pirkanmaa,Tampereen kaupunginkirjasto - Pirkanmaan maakuntakirjasto,Länsi- ja Sisä-Suomi,Tampere,hankkeet.kirjastot.fi/node/524,2012,Lapset (alle 13 v.),ELY,suomenkielinen,maakunta	,15000,1
229,327,Käynti kirjastossa kannattaa,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Nousiaisten kunnankirjasto,Lounais-Suomi,Nousiainen,hankkeet.kirjastot.fi/node/1810,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnat,3700,1
230,329,Käyttäjä palvelun keskiössä : Case Rovaniemen nuortenkirjasto,Palvelujen kehittäminen,Lappi,Rovaniemen kaupunginkirjasto - Lapin maakuntakirjasto,Lappi,Rovaniemi,hankkeet.kirjastot.fi/node/810,2012,Nuoret (13-19  v.),ELY,suomenkielinen,maakunta	,36000,1
231,330,Kellarista kaapin päälle: Turun kaupunginkirjaston vanha kokoelma esiin,Kokoelmat,Varsinais-Suomi,Turun kaupunginkirjasto,Lounais-Suomi,Turku,hankkeet.kirjastot.fi/node/393,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,maakunta	,0,1
232,332,Kempeleen seniorikirjasto,Palvelujen kehittäminen,Pohjois-Pohjanmaa,Kempeleen kirjasto,Pohjois-Suomi,Kempele,hankkeet.kirjastot.fi/node/421,2012,Ikääntyneet,ELY,suomenkielinen,kunnat,10000,1
233,333,Kerran kuussa kirjastoon,Oppimisympäristö ja yhteisöllisyys,Pirkanmaa,Urjalan kirjasto,Länsi- ja Sisä-Suomi,Urjala,hankkeet.kirjastot.fi/node/491,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,3000,1
234,334,Kerran kuussa kirjastoon jatkossakin,Oppimisympäristö ja yhteisöllisyys,Pirkanmaa,Urjalan kunnankirjasto,Länsi- ja Sisä-Suomi,Urjala,hankkeet.kirjastot.fi/node/2053,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnat,2000,1
235,336,Keskipisteessä asiakas,Strateginen kehittäminen,Keski-Suomi,Jyväskylän kaupunginkirjasto - Keski-Suomen maakuntakirjasto,Länsi- ja Sisä-Suomi,Jyväskylä,hankkeet.kirjastot.fi/node/252,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,maakunta	,120000,1
237,339,Ketunkierros -lukudiplomi Kaarinan ruotsinkielisille oppilaille,Lukemisen edistäminen,Varsinais-Suomi,Kaarinan kaupunginkirjasto,Lounais-Suomi,Kaarina,hankkeet.kirjastot.fi/node/966,2013,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,1450,1
238,340,KevätKarkelot & SyysShow,Oppimisympäristö ja yhteisöllisyys,Pirkanmaa,Urjalan kirjasto,Länsi- ja Sisä-Suomi,Urjala,hankkeet.kirjastot.fi/node/1227,2013,"Lapset (alle 13 v.), Lapsiperheet",ELY,suomenkielinen,kunnat,1800,1
239,342,Kiertävä pelisalkku,Mediakasvatus,Pirkanmaa,Pirkkalan kunnankirjasto,Länsi- ja Sisä-Suomi,Pirkkala,hankkeet.kirjastot.fi/node/406,2012,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,11000,1
240,343,Kimmokkeita kirjastosta,Oppimisympäristö ja yhteisöllisyys,Etelä-Savo,Mikkelin kaupunginkirjasto - Etelä-Savon maakuntakirjasto,Itä-Suomi,Mikkeli,hankkeet.kirjastot.fi/node/647,2012,Lapsiperheet,ELY,suomenkielinen,kunnat,4000,1
241,344,Kiriastojen pittiverkosta paikathan Halsuan kokonen reikä.,Laitehankinnat,Keski-Pohjanmaa,Halsuan kunnankirjasto,Länsi- ja Sisä-Suomi,Halsua,hankkeet.kirjastot.fi/node/2332,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4500,1
242,345,Kirja  tutuksi,Lukemisen edistäminen,Uusimaa,Myrskylän kirjasto,Etelä-Suomi,Myrskylä,hankkeet.kirjastot.fi/node/165,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,2000,1
243,346,Kirja auki porukalla - koko perhe lukemaan!,Lukemisen edistäminen,Keski-Pohjanmaa,Toholammin kunnankirjasto,Länsi- ja Sisä-Suomi,Toholampi,hankkeet.kirjastot.fi/node/1934,2014,"Kirjaston asiakkaat, Lapsiperheet",ELY,suomenkielinen,kunnat,5000,1
245,349,Kirjailija ja lukija,Lukemisen edistäminen,Uusimaa,Askolan kunnankirjasto,Etelä-Suomi,Askola,hankkeet.kirjastot.fi/node/2199,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,2500,1
246,350,Kirjailija nuorten maailmassa,Lukemisen edistäminen,Pohjois-Savo,Siilinjärven kunnankirjasto,Itä-Suomi,Siilinjärvi,hankkeet.kirjastot.fi/node/445,2012,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,2000,1
247,351,Kirjailija/kirjavinkkari koululaisia innostamaan,Lukemisen edistäminen,Etelä-Pohjanmaa,Isojoen kunnankirjasto,Länsi- ja Sisä-Suomi,Karijoki,hankkeet.kirjastot.fi/node/1067,2013,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,1800,1
248,352,Kirjailijakiertue Koillismaalle,Lukemisen edistäminen,Pohjois-Pohjanmaa,Kuusamon kaupunginkirjasto,Pohjois-Suomi,Kuusamo,hankkeet.kirjastot.fi/node/672,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.), Kirjaston asiakkaat",ELY,suomenkielinen,seutukunnat	,5000,1
249,355,Kirjailijat vierailevat lukiossa,Lukemisen edistäminen,Etelä-Pohjanmaa,Lapuan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Lapua,hankkeet.kirjastot.fi/node/701,2012,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,2600,1
250,356,Kirjailijavierailla kirjallisuus tutuksi,Lukemisen edistäminen,Satakunta,Siikaisten kunnankirjasto,Lounais-Suomi,Siikainen,hankkeet.kirjastot.fi/node/1807,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,2500,1
251,357,Kirjailijavierailla nostetta kirjaston lukupiireihin,Lukemisen edistäminen,Pohjanmaa,Vaasan kaupunginkirjasto - maakuntakirjasto,Länsi- ja Sisä-Suomi,Vaasa,hankkeet.kirjastot.fi/node/1405,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,4000,1
252,358,Kirjailijavierailuilla lukuintoa Nurmekseen,Lukemisen edistäminen,Pohjois-Karjala,Nurmeksen kaupunginkirjasto,Itä-Suomi,Nurmes,hankkeet.kirjastot.fi/node/1507,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,3000,1
253,359,Kirjailijavierailuja nuorille ,Lukemisen edistäminen,Uusimaa,Vihdin kunnankirjasto,Etelä-Suomi,Vihti,hankkeet.kirjastot.fi/node/1271,2013,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,8000,1
254,360,Kirjailijoita  kouluun,Lukemisen edistäminen,Uusimaa,Askolan kunnankirjasto,Etelä-Suomi,Askola,hankkeet.kirjastot.fi/node/812,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,2000,1
255,362,Kirjailijoita ja asiantuntijoita Tervolan lasten ja nuorten iloksi,Lukemisen edistäminen,Lappi,Tervolan kunnankirjasto,Lappi,Tervola,hankkeet.kirjastot.fi/node/759,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,2790,1
256,364,Kirjakamelin matkassa ,Lukemisen edistäminen,Pohjanmaa,Laihian kirjasto,Länsi- ja Sisä-Suomi,Laihia,hankkeet.kirjastot.fi/node/1321,2013,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,10000,1
257,365,Kirjalla kiusaamista vastaan,Lukemisen edistäminen,Pirkanmaa,Hämeenkyrön kirjasto,Länsi- ja Sisä-Suomi,Hämeenkyrö,hankkeet.kirjastot.fi/node/2274,2014,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,700,1
258,366,Kirjallisuus läheiseksi,Lukemisen edistäminen,Uusimaa,Pukkilan kunnankirjasto,Etelä-Suomi,Pukkila,hankkeet.kirjastot.fi/node/2241,2014,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,2000,1
259,367,Kirjallisuus tutuksi lastenteatterin avulla,Henkilöstön osaaminen,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/1539,2013,"Lapsiperheet, Lapset (alle 13 v.)",ELY,suomenkielinen,kunnat,9000,1
260,369,Kirjallisuusdiplomit kirjailijan kädestä,Lukemisen edistäminen,Varsinais-Suomi,Tarvasjoen kirjasto,Lounais-Suomi,Tarvasjoki,hankkeet.kirjastot.fi/node/1988,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,1500,1
261,371,Kirjan kannet auki - kirjallisuuden lajit tutuiksi,Lukemisen edistäminen,Pohjois-Karjala,Tohmajärven kunnankirjasto,Itä-Suomi,Tohmajärvi,hankkeet.kirjastot.fi/node/1061,2013,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,10000,1
262,373,Kirjan kanssa et ole koskaan yksin,Palvelujen kehittäminen,Pirkanmaa,Hämeenkyrön kirjasto,Länsi- ja Sisä-Suomi,Hämeenkyrö,hankkeet.kirjastot.fi/node/2271,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1000,1
263,374,Kirjaretki,Lukemisen edistäminen,Uusimaa,Myrskylän kirjasto,Etelä-Suomi,Myrskylä,hankkeet.kirjastot.fi/node/937,2013,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,3000,1
267,380,Kirjasta kaveri: lasten ja aikuisten lukuharrastuksen edistäminen,Lukemisen edistäminen,Pirkanmaa,Ikaalisten kaupunginkirjasto,Länsi- ja Sisä-Suomi,Ikaalinen,hankkeet.kirjastot.fi/node/1220,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,5000,1
268,381,Kirjasto  tervehdyttää,Palvelujen kehittäminen,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/730,2012,"Erityisryhmät, Ikääntyneet",ELY,suomenkielinen,kunnat,35000,1
269,383,Kirjasto 150 vuotta - lukemisen juhlaa,Palvelujen kehittäminen,Päijät-Häme,Heinolan kaupunginkirjasto,Etelä-Suomi,Heinola,hankkeet.kirjastot.fi/node/1194,2013,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,4000,1
271,387,Kirjasto ihan pihalla,Oppimisympäristö ja yhteisöllisyys,Kanta-Häme,Riihimäen kaupunginkirjasto,Etelä-Suomi,Riihimäki,hankkeet.kirjastot.fi/node/2172,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,2000,1
272,388,Kirjasto ihmisten keskellä,Oppimisympäristö ja yhteisöllisyys,Pohjois-Savo,Iisalmen kaupunginkirjasto,Itä-Suomi,Iisalmi,hankkeet.kirjastot.fi/node/269,2012,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,12000,1
273,389,KIRJASTO IHOLLA - taiteen lähikontaktin ja jalkautuvan kirjastotoiminnan projekti,Palvelujen kehittäminen,Uusimaa,Keravan kaupunginkirjasto,Etelä-Suomi,Kerava,hankkeet.kirjastot.fi/node/584,2012,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,20000,1
274,391,Kirjasto irti! - osallistava kirjastonkäytönopetus Hattulan kunnankirjastossa,Mediakasvatus,Kanta-Häme,Hattulan kunnankirjasto,Etelä-Suomi,Hattula,hankkeet.kirjastot.fi/node/508,2012,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,4000,1
275,392,Kirjasto ja elävät kuvat,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Sipoon kunnankirjasto,Etelä-Suomi,Sipoo,hankkeet.kirjastot.fi/node/2312,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,5000,1
276,393,Kirjasto ja kirjallisuus - maakuntakirjaston Lappi-kokoelman av-arkisto ja historialliset kirjaharvinaisuudet käyttäjien ulottuville,Verkkopalvelut,Lappi,Rovaniemen kaupunginkirjasto - Lapin maakuntakirjasto,Lappi,Rovaniemi,hankkeet.kirjastot.fi/node/826,2012,"Kirjaston asiakkaat, Sidosryhmät, Kirjaston henkilökunta, Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,maakunta	,19000,1
277,397,Kirjasto ja uusi opetussuunnitelma - koulun ja kirjaston yhteistyö mediakasvatuksessa ,Oppimisympäristö ja yhteisöllisyys,Etelä-Savo,Mikkelin kaupunginkirjasto - Etelä-Savon maakuntakirjasto,Itä-Suomi,Mikkeli,hankkeet.kirjastot.fi/node/1839,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.), Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,kunnat,18000,1
278,400,Kirjasto jalkautuu kuuluvasti,Laitehankinnat,Lappi,Kittilän kunnankirjasto,Lappi,Kittilä,hankkeet.kirjastot.fi/node/1992,2014,"Ikääntyneet, Erityisryhmät",ELY,suomenkielinen,kunnat,1300,1
279,402,Kirjasto kansanperinteen välittäjänä : Elämää Nivalassa 1 - omavaraisuudesta teollisuuteen,Oppimisympäristö ja yhteisöllisyys,Pohjois-Pohjanmaa,Nivalan kaupunginkirjasto,Pohjois-Suomi,Nivala,hankkeet.kirjastot.fi/node/997,2013,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,3300,1
280,403,Kirjasto keskellä kylää,Oppimisympäristö ja yhteisöllisyys,Lappi,Sallan kunnankirjasto,Lappi,Salla,hankkeet.kirjastot.fi/node/722,2012,Ikääntyneet,ELY,suomenkielinen,kunnat,7900,1
281,404,Kirjasto keskipisteessä,Strateginen kehittäminen,Keski-Pohjanmaa,Kokkolan kaupunginkirjasto - maakuntakirjasto,Länsi- ja Sisä-Suomi,Kokkola,hankkeet.kirjastot.fi/node/1072,2013,Kirjaston henkilökunta,ELY,suomenkielinen,kunnan- tai kaupunginosat	,0,1
282,405,Kirjasto kohtaamispaikkana - kokoelmatilasta käyttäjien tilaksi,Tilasuunnittelu,Pohjois-Karjala,Joensuun seutukirjasto - Pohjois-Karjalan maakuntakirjasto,Itä-Suomi,Joensuu,hankkeet.kirjastot.fi/node/281,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,seutukunnat	,20000,1
283,407,Kirjasto kouluille,Laitehankinnat,Keski-Suomi,äänekosken kaupunginkirjasto,Länsi- ja Sisä-Suomi,äänekoski,hankkeet.kirjastot.fi/node/1300,2013,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,3000,1
284,409,Kirjasto lähestyy lähiötä,Palvelujen kehittäminen,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/674,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,35000,1
285,410,Kirjasto lastenkulttuurin näyttämönä,Mediakasvatus,Etelä-Pohjanmaa,Lapuan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Lapua,hankkeet.kirjastot.fi/node/1363,2013,"Lapset (alle 13 v.), Kirjaston asiakkaat",ELY,suomenkielinen,kunnat,2500,1
286,412,Kirjasto Liikkuu ja liikuttaa,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Maskun kunnankirjasto,Lounais-Suomi,Masku,hankkeet.kirjastot.fi/node/625,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,5000,1
287,413,Kirjasto mediakasvatuksen ohjaajana,Mediakasvatus,Varsinais-Suomi,Marttilan kunnankirjasto,Lounais-Suomi,Marttila,hankkeet.kirjastot.fi/node/1960,2014,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,10000,1
288,414,Kirjasto Monena ja Monelle,Mediakasvatus,Pohjois-Pohjanmaa,Oulaisten kaupunginkirjasto,Pohjois-Suomi,Oulainen,hankkeet.kirjastot.fi/node/709,2012,"Nuoret (13-19  v.), Nuoret aikuiset (19.-29 v.)",ELY,suomenkielinen,kunnat,59000,1
289,416,Kirjasto mukana nuoren elämässä,Palvelujen kehittäminen,Keski-Suomi,Hankasalmen kirjasto,Länsi- ja Sisä-Suomi,Hankasalmi,hankkeet.kirjastot.fi/node/459,2012,"Nuoret (13-19  v.), Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,9000,1
290,418,Kirjasto On The Rocks,Palvelujen kehittäminen,Etelä-Pohjanmaa,Kurikan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kurikka,hankkeet.kirjastot.fi/node/971,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,0,1
291,419,Kirjasto osana ihmisten elämässä,Tilasuunnittelu,Pohjois-Pohjanmaa,Alavieskan kunnankirjasto,Pohjois-Suomi,Alavieska,hankkeet.kirjastot.fi/node/368,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1000,1
292,420,Kirjasto paikallisen identiteetin vahvistajana,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Tuusulan kunnankirjasto,Etelä-Suomi,Tuusula,hankkeet.kirjastot.fi/node/2341,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,0,1
293,422,Kirjasto pelinä,Mediakasvatus,Pohjois-Pohjanmaa,Oulaisten kaupunginkirjasto,Pohjois-Suomi,Oulainen,hankkeet.kirjastot.fi/node/1536,2013,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,50000,1
294,423,Kirjasto treenaa nuoria - nuorisotakuuhanke,Mediakasvatus,Uusimaa,Helsingin kaupunginkirjasto,Etelä-Suomi,Helsinki,hankkeet.kirjastot.fi/node/1991,2014,"Nuoret (13-19  v.), Nuoret aikuiset (19.-29 v.)",ELY,suomenkielinen,seutukunnat	,42000,1
