id2,id,hanke_name,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Lookup_Hanketyyppi,Lookup_Kieli,Lookup_Vaikutusalue,amount,lkm
740,1084,Sukella seikkailuun - hurahda tarinaan,Lukemisen edistäminen,Etelä-Pohjanmaa,Kauhavan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kauhava,hankkeet.kirjastot.fi/node/476,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,15000,1
741,1086,Sukellus sarjakuvaan,Oppimisympäristö ja yhteisöllisyys,Etelä-Savo,Mäntyharjun kunnankirjasto,Itä-Suomi,Mäntyharju,hankkeet.kirjastot.fi/node/339,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,5000,1
742,1088,Sukellus sarjakuvan maailmaan - sarjakuva nuorten mediakasvatuksen välineenä,Oppimisympäristö ja yhteisöllisyys,Satakunta,Harjavallan kaupunginkirjasto,Lounais-Suomi,Harjavalta,hankkeet.kirjastot.fi/node/1046,2013,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,4500,1
743,1089,Suomea ja kotoutumista - kohtaamispaikkana Karhulan kirjasto,Palvelujen kehittäminen,Kymenlaakso,Kotkan kaupunginkirjasto,Etelä-Suomi,Kotka,hankkeet.kirjastot.fi/node/1036,2013,Maahanmuuttajat,ELY,suomenkielinen,kunnat,8000,1
744,1090,Suomi toisin silmin: tapahtumasarja Espoon aluekirjastoissa,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1157,2013,"Kirjaston asiakkaat, Maahanmuuttajat",ELY,suomenkielinen,kunnan- tai kaupunginosat	,3000,1
745,1092,"Suositellaan säännölliseen käyttöön: hakeutuvaa kirjastotyötä, tiedotusta ja tapahtumia kaiken ikäisille",Palvelujen kehittäminen,Etelä-Karjala,Imatran kaupunginkirjasto,Etelä-Suomi,Imatra,hankkeet.kirjastot.fi/node/1477,2013,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnat,15000,1
746,1093,Sykettä pääkirjastoon monitoimilavan avulla,Oppimisympäristö ja yhteisöllisyys,Kymenlaakso,Kouvolan kaupunginkirjasto-maakuntakirjasto,Etelä-Suomi,Kouvola,hankkeet.kirjastot.fi/node/422,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,0,1
747,1095,Syksyinen iltakirjasto,Lukemisen edistäminen,Pirkanmaa,Hämeenkyrön kirjasto,Länsi- ja Sisä-Suomi,Hämeenkyrö,hankkeet.kirjastot.fi/node/787,2012,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,1000,1
748,1096,"Syyhyttääkö sormis, sopisiko s-kirja?",Laitehankinnat,Keski-Suomi,Kannonkosken kunnankirjasto,Länsi- ja Sisä-Suomi,Kannonkoski,hankkeet.kirjastot.fi/node/1375,2013,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,5000,1
749,1097,Tablet -laitteet medialukutaitojen opetuksessa,Laitehankinnat,Lappi,Sallan kunnankirjasto,Lappi,Salla,hankkeet.kirjastot.fi/node/2333,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,3400,1
750,1099,Tabletilla sujuvammin,Laitehankinnat,Etelä-Pohjanmaa,Teuvan kunnankirjasto,Länsi- ja Sisä-Suomi,Teuva,hankkeet.kirjastot.fi/node/2358,2014,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnan- tai kaupunginosat	,1500,1
751,1101,Tabletin aika,Laitehankinnat,Pohjois-Karjala,Lieksan kaupunginkirjasto,Itä-Suomi,Lieksa,hankkeet.kirjastot.fi/node/2326,2014,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnan- tai kaupunginosat	,4000,1
752,1103,Tabletteja teknologian puutteeseen - laiteuutuuksia myös lähikirjastoihin,Laitehankinnat,Uusimaa,Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto,Etelä-Suomi,Porvoo,hankkeet.kirjastot.fi/node/1312,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,10000,1
753,1104,Tabletteja uutisnälkään,Laitehankinnat,Kainuu,Suomussalmen kunnankirjasto,Pohjois-Suomi,Suomussalmi,hankkeet.kirjastot.fi/node/1137,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,2500,1
754,1105,Tabletti tiedonjanoon,Laitehankinnat,Varsinais-Suomi,Naantalin kaupunginkirjasto,Lounais-Suomi,Naantali,hankkeet.kirjastot.fi/node/2035,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,7000,1
755,1106,Tablettia tiedonnälkään,Laitehankinnat,Varsinais-Suomi,Paimion kaupunginkirjasto,Lounais-Suomi,Paimio,hankkeet.kirjastot.fi/node/2424,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.), Ikääntyneet",ELY,suomenkielinen,kunnat,3000,1
756,1109,Taidetta koteihin,Palvelujen kehittäminen,Kainuu,Suomussalmen kunnankirjasto,Pohjois-Suomi,Suomussalmi,hankkeet.kirjastot.fi/node/1160,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,0,1
757,1110,Talteen! - Digitointipaikka kirjastoon,Laitehankinnat,Pohjois-Karjala,Lieksan kaupunginkirjasto,Itä-Suomi,Lieksa,hankkeet.kirjastot.fi/node/352,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnan- tai kaupunginosat	,5000,1
758,1112,Tammien tarinat : Nurmeksen metsätalouteen liittyvää muistitietoa talteen tarinoita kertomalla,Digitointi,Pohjois-Karjala,Nurmeksen kaupunginkirjasto,Itä-Suomi,Nurmes,hankkeet.kirjastot.fi/node/1517,2013,"Ikääntyneet, Kirjaston asiakkaat",ELY,suomenkielinen,kunnat,9500,1
759,1114,"Täppää, digitoi ja editoi kirjastossa",Mediakasvatus,Kymenlaakso,Kotkan kaupunginkirjasto,Etelä-Suomi,Kotka,hankkeet.kirjastot.fi/node/1053,2013,"Nuoret (13-19  v.), Työikäinen väestö, Ikääntyneet",ELY,suomenkielinen,kunnat,6000,1
760,1115,Tarina elokuvaksi - luovaa mediakasvatusta,Mediakasvatus,Keski-Suomi,Laukaan kunnankirjasto,Länsi- ja Sisä-Suomi,Laukaa,hankkeet.kirjastot.fi/node/633,2012,Lapset (alle 13 v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,4800,1
761,1116,Tarinan juurilla,Lukemisen edistäminen,Etelä-Pohjanmaa,Kauhavan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kauhava,hankkeet.kirjastot.fi/node/774,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1500,1
762,1117,Tarinan taikaa,Oppimisympäristö ja yhteisöllisyys,Päijät-Häme,Heinolan kaupunginkirjasto,Etelä-Suomi,Heinola,hankkeet.kirjastot.fi/node/1787,2014,Lapset (alle 13 v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,0,1
763,1118,Tarinat elämään II,Oppimisympäristö ja yhteisöllisyys,Etelä-Savo,Kangasniemen kunnankirjasto,Itä-Suomi,Kangasniemi,hankkeet.kirjastot.fi/node/993,2013,"Kirjaston asiakkaat, Ikääntyneet",ELY,suomenkielinen,kunnat,9500,1
764,1120,Tarinatornado - lasten ja nuorten aineistoseminaari,Henkilöstön osaaminen,Varsinais-Suomi,Raision kaupunginkirjasto,Lounais-Suomi,Raisio,hankkeet.kirjastot.fi/node/325,2012,"Kirjaston henkilökunta, Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,maakunta	,10000,1
765,1122,Tarinoiden maailma - vinkkauksia päiväkodeille,Lukemisen edistäminen,Uusimaa,Lohjan kaupunginkirjato,Etelä-Suomi,Lohja,hankkeet.kirjastot.fi/node/2119,2014,Lapset (alle 13 v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,4000,1
766,1123,Tarinoiden talosta kuntalaisten olohuone,Laitehankinnat,Pohjanmaa,Laihian kirjasto,Länsi- ja Sisä-Suomi,Laihia,hankkeet.kirjastot.fi/node/855,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnat,3000,1
767,1125,Tarinoita Inarista: digitaalinen tarinapankki,Digitointi,Lappi,Inarin kunnankirjasto,Lappi,Inari,hankkeet.kirjastot.fi/node/2159,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,maakunta	,35100,1
768,1127,Tarinoita taaperoille ja tenaville,Oppimisympäristö ja yhteisöllisyys,Pirkanmaa,Mänttä-Vilppulan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Mänttä-Vilppula,hankkeet.kirjastot.fi/node/1929,2014,"Lapsiperheet, Lapset (alle 13 v.)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,2000,1
769,1129,Tartu tassuun -hankkeen laajennus - koira-avusteisia muisteluhetkiä vanhuksille ja kirjoitushetkiä lapsille,Palvelujen kehittäminen,Varsinais-Suomi,Kaarinan kaupunginkirjasto,Lounais-Suomi,Kaarina,hankkeet.kirjastot.fi/node/1873,2014,"Lapset (alle 13 v.), Ikääntyneet, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,12000,1
770,1132,Tarut eläviksi,Lukemisen edistäminen,Uusimaa,Vihdin kunnankirjasto,Etelä-Suomi,Vihti,hankkeet.kirjastot.fi/node/2121,2014,"Lapset (alle 13 v.), Lapsiperheet",ELY,suomenkielinen,kunnat,5000,1
771,1134,Teatteria Peukaloisen retkistä,Oppimisympäristö ja yhteisöllisyys,Kainuu,Hyrynsalmen kirjasto,Pohjois-Suomi,Hyrynsalmi,hankkeet.kirjastot.fi/node/1114,2013,Lapset (alle 13 v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,1000,1
772,1135,Teatterin ammattilainen katsoo kirjastoa,Oppimisympäristö ja yhteisöllisyys,Pirkanmaa,Valkeakosken kaupunginkirjasto,Länsi- ja Sisä-Suomi,Valkeakoski,hankkeet.kirjastot.fi/node/1884,2014,Kirjaston henkilökunta,ELY,suomenkielinen,kunnat,3000,1
773,1136,Tehoa tiedonhaun opetukseen,Laitehankinnat,Pirkanmaa,Sastamalan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Sastamala,hankkeet.kirjastot.fi/node/2174,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,7000,1
774,1138,"Tehoa tilaan, tekniikkaa tarpeeseen",Laitehankinnat,Etelä-Pohjanmaa,Kurikan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kurikka,hankkeet.kirjastot.fi/node/2349,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,18000,1
775,1139,"Tekniikkaa kirjastoon, aikaa asiakkaille",Laitehankinnat,Päijät-Häme,Asikkalan kirjasto,Etelä-Suomi,Asikkala,hankkeet.kirjastot.fi/node/516,2012,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,4000,1
776,1140,"Tekniikkaa taloon, palveluprosessi haltuun",Palvelujen kehittäminen,Etelä-Savo,Mäntyharjun kunnankirjasto,Itä-Suomi,Mäntyharju,hankkeet.kirjastot.fi/node/2100,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,32000,1
777,1141,Tekniken up-to-date,Laitehankinnat,Uusimaa,Ingå kommunbibliotek,Etelä-Suomi,Inkoo,hankkeet.kirjastot.fi/node/926,2013,Kirjaston asiakkaat,ELY,ruotsinkielinen,kunnat,0,1
778,1142,Tervakosken avoin kirjasto,Palvelujen kehittäminen,Kanta-Häme,Janakkalan kirjasto,Etelä-Suomi,Janakkala,hankkeet.kirjastot.fi/node/1757,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,40000,1
